biz_name,aspect,positive_aspect_count,negative_aspect_count,positive_aspect_ratio
Briscola,food,168,66,0.717948717948718
Citron & Rose,food,79,25,0.7596153846153846
Peacemaker Lobster and Crab,ambience,328,53,0.8608923884514436
Pizza Fusion at Skypoint,food,149,24,0.861271676300578
Kingdom of Vegetarians Restaurant,food,99,28,0.7795275590551181
Jersey Mike's Subs,service,350,67,0.8393285371702638
Basso,food,608,85,0.8773448773448773
Perla,food,393,43,0.9013761467889908
Texas Roadhouse,ambience,198,124,0.6149068322981367
Chun Hing Restaurant,ambience,19,1,0.95
Shapiro's Delicatessen,ambience,14,11,0.56
Market Street Bistro and Bar,food,38,5,0.8837209302325582
Paci's Pizza,service,21,0,1.0
Titos Pizza,ambience,7,1,0.875
Freddy's Frozen Custard & Steakburgers,service,85,13,0.8673469387755102
Acapulco Joe's,food,200,157,0.5602240896358543
QQ Sushi Train,ambience,5,2,0.7142857142857143
Baguette Deli,food,333,51,0.8671875
3 Sisters Café,service,211,50,0.8084291187739464
El Morral Mexican Restaurant,ambience,5,0,1.0
Athens on 4th Avenue,food,254,30,0.8943661971830986
Nice Chinese Restaurant,food,17,3,0.85
GW Fins,service,1709,103,0.9431567328918322
Golden River Restaurant,food,8,1,0.8888888888888888
Pizza by Elizabeths,food,241,29,0.8925925925925926
Hinoki Sushi,food,1017,140,0.8789974070872947
New Bethel Ordinary,service,53,6,0.8983050847457628
Pita King Express,service,26,1,0.9629629629629629
Dante & Luigi's,ambience,252,9,0.9655172413793104
Pumpernick's Deli,food,427,68,0.8626262626262626
daVinci's,ambience,39,13,0.75
Skyway Jack's,price,51,2,0.9622641509433962
Mad Beach Craft Brewing,service,261,44,0.8557377049180328
Barclay Prime,price,118,53,0.6900584795321637
Sekisui,food,104,60,0.6341463414634146
Pasta Mista,food,87,25,0.7767857142857143
Centro Bar & Kitchen,ambience,273,40,0.8722044728434505
Union Taco - Flourtown,food,56,23,0.7088607594936709
Shish Kebab House of Tucson,service,106,8,0.9298245614035088
Max & Erma's,price,14,0,1.0
I Fratellini,price,29,2,0.9354838709677419
Arnoldi's Cafe,food,360,47,0.8845208845208845
Burger 21,food,224,56,0.8
The Post East,ambience,87,5,0.9456521739130435
Eclipse Bistro,service,112,4,0.9655172413793104
It's A Better Burger,price,4,1,0.8
Sushi GoGo,ambience,28,7,0.8
Madison Grill,food,61,11,0.8472222222222222
Asia Wok - Brownsburg,food,100,20,0.8333333333333334
Rai Rai Ramen & Hawaiian BBQ,service,160,4,0.975609756097561
Aladdin's Hookah Lounge and Bar,price,13,3,0.8125
Sushi Bar,ambience,132,18,0.88
Arby's,food,257,98,0.723943661971831
Favela Chic,ambience,28,11,0.717948717948718
Bob's Diner,price,30,3,0.9090909090909091
Fresh Indian Grill,price,42,6,0.875
Victory Bar & Grill,service,39,12,0.7647058823529411
Taj Mahal Homestyle Indian & Pakistani Cuisine,ambience,104,10,0.9122807017543859
Toast,food,984,112,0.8978102189781022
Rosita's Mexican Restaurant,service,78,2,0.975
Everyday Good House,service,28,10,0.7368421052631579
Sips Specialty Coffee House,food,152,17,0.8994082840236687
Bill's Grill,food,6,2,0.75
Babalu,food,185,58,0.7613168724279835
Vintage Wine Bar,price,71,14,0.8352941176470589
Broad Street Diner,price,16,7,0.6956521739130435
Chopstick & Fork,ambience,0,0,
Thai Square Restaurant,service,106,2,0.9814814814814815
Lucky's Coffee Shop,food,236,56,0.8082191780821918
Eclectic Cafe,ambience,80,18,0.8163265306122449
The Cheesecake Factory,price,83,27,0.7545454545454545
Frida's Cafe & Bakery,price,41,6,0.8723404255319149
Lincoln Square Pancake House,price,173,6,0.9664804469273743
Imo's Pizza,ambience,41,25,0.6212121212121212
Mama Josephine's,food,213,26,0.891213389121339
Hathorne,ambience,69,4,0.9452054794520548
Asados Al Carbon,food,15,11,0.5769230769230769
Ashley Diner and Cafe,food,12,2,0.8571428571428571
Laziza,ambience,5,0,1.0
Pho Noi Viet,ambience,61,14,0.8133333333333334
Willie Jewell's Old School Bar-B-Q Big Bend,service,26,2,0.9285714285714286
La Michoacana,ambience,30,23,0.5660377358490566
Vincenzo's,ambience,22,0,1.0
Fast Eddies Fried Chicken,food,29,3,0.90625
New China Restaurant,food,25,13,0.6578947368421053
Penn Queen Diner,service,40,19,0.6779661016949152
Plaza Azteca - Plymouth Meeting,price,112,12,0.9032258064516129
Blue Fugu,food,147,43,0.7736842105263158
Beijing Duck House,food,72,23,0.7578947368421053
La Hacienda,service,82,5,0.9425287356321839
The Station Coffee Shop & Bakery,ambience,85,5,0.9444444444444444
REBAR COFFEE + KTCHN,food,175,41,0.8101851851851852
Alfano's Restaurant,service,41,3,0.9318181818181818
Mexcal,food,343,33,0.9122340425531915
Lombardo's Restaurant,food,139,61,0.695
The Great Wall,ambience,0,0,
Eagle Diner,food,36,35,0.5070422535211268
Mt Lemmon Cafe,food,8,2,0.8
Lily's Mexican Restaurant,service,34,0,1.0
Babe's Pizza,service,56,5,0.9180327868852459
"MOOYAH Burgers, Fries & Shakes",service,121,20,0.8581560283687943
Penrose Diner,ambience,170,14,0.9239130434782609
Dooris Mediterranean Cafe,food,81,4,0.9529411764705882
Denise's Delicacies,ambience,17,1,0.9444444444444444
Galliano Restaurant,price,59,20,0.7468354430379747
Jia's Wok,food,36,16,0.6923076923076923
Li Chinese Reaturant,food,35,13,0.7291666666666666
Sami's Bakery,food,14,5,0.7368421052631579
Tim Hortons,food,61,19,0.7625
Pensare Italian Bistro & Wine Bar,service,59,3,0.9516129032258065
China House,service,73,12,0.8588235294117647
Chong Wah,food,42,10,0.8076923076923077
Bistro Daisy,ambience,84,15,0.8484848484848485
The Flaming Torch,food,92,44,0.6764705882352942
Union 30,price,17,6,0.7391304347826086
Bitterman's Deli,price,2,0,1.0
Pemrose,price,54,20,0.7297297297297297
Pizzata Pizzeria,ambience,10,0,1.0
Tacconelli's Pizzeria,price,41,11,0.7884615384615384
Pho Le,service,60,0,1.0
Caribou Cafe,ambience,193,16,0.9234449760765551
OORI,ambience,18,3,0.8571428571428571
Due Amici Italian Grill,ambience,43,4,0.9148936170212766
Das Bevo,price,11,3,0.7857142857142857
Szechuan Garden,service,34,4,0.8947368421052632
Pure Fire Pizza,service,56,2,0.9655172413793104
Smokin' John's Barbeque,ambience,45,6,0.8823529411764706
Tasty Pho,ambience,162,12,0.9310344827586207
Crafty Squirrel,ambience,14,1,0.9333333333333333
Carmines Creole Cafe Act II,food,88,12,0.88
Social Roost,service,47,4,0.9215686274509803
Westside Cafe & Coffee Company,food,152,23,0.8685714285714285
Happy Panda,food,18,1,0.9473684210526315
